company_name,region,sector,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_classification,long_term_target_year, net_zero_status,net_zero_year,full_target_language,ba15_status,ba15_date ,target_classification_long,reason_for_extension_or_removal,Country,Country Code,Sector,CA100 Company?,Large/Medium Classification,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,Overall transparency score,Overall integrity score,1. Transparency and Integrity,2. Transparency,2. Integrity,3. Transparency,3. Integrity,4. Transparency,4. Integrity,What is their revenue?,What are their emissions?,What is their pledge?,Major emission sources,Disclosure,Headline target or pledge,Short-term targets - grey,Short-term targets - white,Medium-term targets - grey,Medium-term targets - white,Longer-term targets - grey,Longer-term targets - white,Operational emissions (scope 1) number,Operational emissions (scope 1) verbiage,Renewable electricity (scope 2) number,Renewable electricity (scope 2) verbiage,Upstream emissions (scope 3) number,Upstream emissions (scope 3) verbiage,Downstream emissions (scope 3) number,Downstream emissions (scope 3) verbiage,Climate contributions today,Misleading offsetting claims today,Short and medium term targets - grey,Short and medium term targets - white,Emission Reduction Measures
Albertsons Companies,Northern America,Food and Staples Retailing,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,small,2024-03-05 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphabet,Northern America,Software and Services,Committed,,,,,,,,,,,,,United States of America,USA,,,,2022-09-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphabet,Northern America,Software and Services,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,2024-03-05 00:00:00,4.0,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphabet,Northern America,Software and Services,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,2023-04-03 00:00:00,4.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Northern America,Retailing,Commitment removed,,,,,,,,,,,,Expired commitment,United States of America,USA,,,,2020-06-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Northern America,Retailing,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,2024-04-30 00:00:00,4.0,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Northern America,Retailing,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,2023-04-25 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No,Poor,Poor,Moderate,Poor,Very Poor,Poor,Poor,Poor,Very Poor,USD 469.82 bn (2021),71.5 MtCO2e (2021),Net-zero carbon by 2040,"Major emission sources: The majority of Amazon's emission footprint comes from s3 emissions (77%). Disclosure: Emission disclosure lacks transparency,","Emission disclosure lacks transparency, only market-based emissions are reported and major emission sources in s3 are missing.",Net-zero carbon by 2040,,,,,Amazon pledges to reach net-zero carbon across its operation by 2040.,"Unlear scope coverage and if the target refers to CO2 only, or all GHG emissions. No emission reduction target alongside the net-zero pledge.",,,,"Today 85% RE electricty by 2025, target of 100%. Lack of transparency on RE procurement at an aggregated level, potential use of unbundled RECs.",,,,,,Right Now Climate Fund: $100m for biological CDR. Unclear if related to climate contribution or future neutralisation.,- Sourcing 100% of its used electricity from RE sources by 2025 - By 2030 50% of Amazon's shipments will be net-zero,"Max. emission reduction of 16% (parts s1, s2), but possibly much less: details are lacking, potential use of RECs and offsets to reach targets.",Measures with the potential for deep deacrbonisation are implemented for transport and buildings. Coverage and overall impact of those measures is unclear.
American Airlines,Northern America,Air Transportation - Airlines,Targets set,Well-below 2C,2035,,,,,,American Airlines Group Inc. commits to reduce well-to-wake GHG emissions related to jet fuel 45% per revenue ton kilometer from owned and subcontracted operations by 2035 from a 2019 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks. **Non-CO2e effects which may also contribute to aviation induced warming are not included in this target. American Airlines Inc. commits to report publicly on its collaboration with stakeholders to improve understanding of opportunities to mitigate the non-CO2e impacts of aviation annually over its target timeframe. American Airlines Group Inc. also commits to reduce absolute scope 2 GHG emissions by 40% over the same target timeframe,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,2022-04-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Airlines,Northern America,Air Transportation - Airlines,,,,,,,,,,,,,,United States of America,USA,Airlines,Yes,medium,2024-04-05 00:00:00,3.0,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Airlines,Northern America,Air Transportation - Airlines,,,,,,,,,,,,,,United States of America,USA,Airlines,Yes,medium,2023-05-04 00:00:00,5.0,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Moderate,Very Poor,Poor,Moderate,Very Poor,Moderate,Very Poor,Poor,Very Poor,USD 29.9 bn (2021),42.0 MtCO2e (2021),Net-zero GHG emissions by 2050,Major emission sources: Jet fuel accounts for 99% of s1 and 30% of upstream s3 emissions. Disclosure: Various non-GHG emissions disclosed but,"Various non-GHG emissions disclosed but not contrail cirrus, which is the most relevant non-GHG forcer from aviation. Comprehensive reporting of GHGs across s1, s2 and upstream s3.",Net-zero GHG emissions by 2050,,,,,Reduce the intensity of jet fuel by 45% and s2 emissions by 40% by 2035 compared to 2019; and net-zero GHG emissions by 2050.,Targets cover jet fuel but exclude various s3 emission sources. They do not meet 1.5°C-aligned sectoral benchmarks.,,,,40% of purchased electricity is labelled as 'renewable'; American Airlines purchases unbundled RECs to make this claim.,,,,,,Projects supported do not represent high-hanging fruit projects No climate contributions identiﬁed.,Source 2.5 mn GJ of RE by 2025; achieve absolute reduction of 50 million gallons of jet fuel from fuel-eﬃciency initiatives; and use 10% SAF by 2030.,No intensity or absolute reduction commitments for 2030. The SAF target is at the very minimum of what sectoral benchmarks require.,Measures to improve efﬁciency of aircraft and ground handling; investments in SAF. No commitment to phase out carbon- intensive activities or decreasing demand for aviation.
American Express Company,Northern America,"Specialized Financial Services, Consumer Finance, Insurance Brokerage Firms",Targets set,1.5C,2033,Targets set,1.5C,2050,Targets set,2050,"Overall Net-Zero Target: American Express Company commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: American Express Company commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2033 from 2019 base year. American Express Company also commits to reduce absolute scope 3 emissions 35% within the same timeframe. 
American Express Company commits that 75% of membership rewards redemption partners and cobrand partners by emissions covering beyond the minimum boundary emissions from purchased goods and services will have science-based targets by 2028. Long-Term Targets: American Express Company commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2019 base year. American Express Company commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe. ",BA1.5 member,9/23/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Financials,No,large,2024-04-30 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Tower Corporation,Northern America,Real Estate,Targets set,Well-below 2C,2035,,,,,,"American Tower Corporation commits to reduce absolute scope 1, 2 and 3 GHG emissions 40% by 2035 from a 2019 base year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,2021-10-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory Corp of America,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",,,,,,,,,,,,,,United States of America,USA,Health Care,No,medium,2024-05-03 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Americold Realty Trust,Northern America,Real Estate,Commitment removed,,,,,,,,,,,,Expired commitment,,,,,,2022-08-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Americold Realty Trust,Northern America,Real Estate,,,,,,,,,,,,,,United States of America,USA,Financials,No,small,2024-04-18 00:00:00,2.0,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramark,Northern America,"Hotels, Restaurants and Leisure, and Tourism Services",Targets set,1.5C,2030,Targets set,1.5C,FY2050,Targets set,FY2050,Overall Net-Zero Target Aramark commits to reach net-zero GHG emissions across the value chain by FY2050. Near-Term Targets Aramark commits to reduce absolute scope 1 and 2 GHG emissions 57.1% by FY2030 from a FY2019 base year. Aramark commits that 62% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution will have science-based targets by FY2027. Aramark commits to reduce absolute scope 3 GHG emissions from use of sold products 28% by FY2030 from a FY2019 base year. Long-Term Targets Aramark commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2050 from a FY2019 base year. Aramark commits to reduce absolute scope 3 GHG emissions 90% by FY2050 from a FY2019 base year.,BA1.5 member,11/1/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Consumer Services,No,medium,2023-04-19 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer Daniels Midland,Northern America,Food and Beverage Processing,Commitment removed,,,,,,,,,,,,Expired commitment,,,,,,2022-04-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer Daniels Midland,Northern America,Food and Beverage Processing,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,2024-03-05 00:00:00,3.0,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer Daniels Midland,Northern America,Food and Beverage Processing,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,2023-05-05 00:00:00,3.0,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong World Industries,Northern America,Building Products,Targets set,Well-below 2C,2030,,,,,,"Armstrong World Industries, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2019 base year. Armstrong World Industries, Inc. commits to increase annual sourcing of renewable electricity from 0% in 2019 to 100% by 2030. Armstrong also commits to reduce absolute scope 3 emissions from purchased goods and services, fuel and energy related activites, upstream transportation and distribution, waste generated in operations, downstream transportation and distribution and end-of-life treatment of sold products 27.5% by 2030 from a 2019 base year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,2022-10-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong World Industries,Northern America,Building Products,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,2024-04-23 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland,Northern America,Chemicals,Targets set,1.5C,2030,,,,,,"Ashland commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by
FY2032 from a FY2022 base year.* Ashland also commits to reduce absolute
scope 3 GHG emissions 50.4% within the same timeframe.
*The target boundary includes land-related emissions and removals from
bioenergy feedstocks.",BA1.5 member,1/1/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,2023-11-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland,Northern America,Chemicals,,,,,,,,,,,,,,United States of America,USA,Chemicals,No,small,2024-04-24 00:00:00,3.0,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland,Northern America,Chemicals,,,,,,,,,,,,,,United States of America,USA,Chemicals,No,small,2023-05-05 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalonbay Communities,Northern America,Real Estate,Targets set,2C,2030,,,,,,Real estate investment trust AvalonBay commits to reduce scope 1 and 2 GHG emissions 53% per square foot by 2030 from a 2017 base year. AvalonBay also commits to reduce scope 3 emissions 47% per square foot within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C,,,,,,,2019-07-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalonbay Communities,Northern America,Real Estate,,,,,,,,,,,,,,United States of America,USA,Financials,No,medium,2024-03-05 00:00:00,4.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
