company_name,region,sector,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_classification,long_term_target_year, net_zero_status,net_zero_year,full_target_language,ba15_status,ba15_date ,target_classification_long,reason_for_extension_or_removal,Country,Country Code,Sector,CA100 Company?,Large/Medium Classification,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Alphabet,Northern America,Software and Services,Committed,,,,,,,,,,,,,United States of America,USA,,,,9/29/22,,,,,,,,,,,,,,,,,,,,,,,,,
Alphabet,Northern America,Software and Services,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,3/5/24,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes
Alphabet,Northern America,Software and Services,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,4/3/23,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Amazon,Northern America,Retailing,Commitment removed,,,,,,,,,,,,Expired commitment,United States of America,USA,,,,6/18/20,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Northern America,Retailing,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,4/30/24,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Amazon,Northern America,Retailing,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,4/25/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
American Airlines,Northern America,Air Transportation - Airlines,Targets set,Well-below 2C,2035,,,,,,American Airlines Group Inc. commits to reduce well-to-wake GHG emissions related to jet fuel 45% per revenue ton kilometer from owned and subcontracted operations by 2035 from a 2019 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks. **Non-CO2e effects which may also contribute to aviation induced warming are not included in this target. American Airlines Inc. commits to report publicly on its collaboration with stakeholders to improve understanding of opportunities to mitigate the non-CO2e impacts of aviation annually over its target timeframe. American Airlines Group Inc. also commits to reduce absolute scope 2 GHG emissions by 40% over the same target timeframe,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,4/14/22,,,,,,,,,,,,,,,,,,,,,,,,,
American Airlines,Northern America,Air Transportation - Airlines,,,,,,,,,,,,,,United States of America,USA,Airlines,Yes,medium,4/5/24,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
American Airlines,Northern America,Air Transportation - Airlines,,,,,,,,,,,,,,United States of America,USA,Airlines,Yes,medium,5/4/23,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
American Express Company,Northern America,"Specialized Financial Services, Consumer Finance, Insurance Brokerage Firms",Targets set,1.5C,2033,Targets set,1.5C,2050,Targets set,2050,"Overall Net-Zero Target: American Express Company commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: American Express Company commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2033 from 2019 base year. American Express Company also commits to reduce absolute scope 3 emissions 35% within the same timeframe. 
American Express Company commits that 75% of membership rewards redemption partners and cobrand partners by emissions covering beyond the minimum boundary emissions from purchased goods and services will have science-based targets by 2028. Long-Term Targets: American Express Company commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2019 base year. American Express Company commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe. ",BA1.5 member,9/23/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Financials,No,large,4/30/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes
American Tower Corporation,Northern America,Real Estate,Targets set,Well-below 2C,2035,,,,,,"American Tower Corporation commits to reduce absolute scope 1, 2 and 3 GHG emissions 40% by 2035 from a 2019 base year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,10/28/21,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory Corp of America,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",,,,,,,,,,,,,,United States of America,USA,Health Care,No,medium,5/3/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Americold Realty Trust,Northern America,Real Estate,Commitment removed,,,,,,,,,,,,Expired commitment,,,,,,8/18/22,,,,,,,,,,,,,,,,,,,,,,,,,
Americold Realty Trust,Northern America,Real Estate,,,,,,,,,,,,,,United States of America,USA,Financials,No,small,4/18/24,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,No,No,No,Yes
Aramark,Northern America,"Hotels, Restaurants and Leisure, and Tourism Services",Targets set,1.5C,2030,Targets set,1.5C,FY2050,Targets set,FY2050,Overall Net-Zero Target Aramark commits to reach net-zero GHG emissions across the value chain by FY2050. Near-Term Targets Aramark commits to reduce absolute scope 1 and 2 GHG emissions 57.1% by FY2030 from a FY2019 base year. Aramark commits that 62% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution will have science-based targets by FY2027. Aramark commits to reduce absolute scope 3 GHG emissions from use of sold products 28% by FY2030 from a FY2019 base year. Long-Term Targets Aramark commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2050 from a FY2019 base year. Aramark commits to reduce absolute scope 3 GHG emissions 90% by FY2050 from a FY2019 base year.,BA1.5 member,11/1/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Consumer Services,No,medium,4/19/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,No,No,Yes,No,No,No,No,No
Archer Daniels Midland,Northern America,Food and Beverage Processing,Commitment removed,,,,,,,,,,,,Expired commitment,,,,,,4/28/22,,,,,,,,,,,,,,,,,,,,,,,,,
Archer Daniels Midland,Northern America,Food and Beverage Processing,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,3/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Archer Daniels Midland,Northern America,Food and Beverage Processing,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,5/5/23,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Armstrong World Industries,Northern America,Building Products,Targets set,Well-below 2C,2030,,,,,,"Armstrong World Industries, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2019 base year. Armstrong World Industries, Inc. commits to increase annual sourcing of renewable electricity from 0% in 2019 to 100% by 2030. Armstrong also commits to reduce absolute scope 3 emissions from purchased goods and services, fuel and energy related activites, upstream transportation and distribution, waste generated in operations, downstream transportation and distribution and end-of-life treatment of sold products 27.5% by 2030 from a 2019 base year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,10/13/22,,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong World Industries,Northern America,Building Products,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,4/23/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Ashland,Northern America,Chemicals,Targets set,1.5C,2030,,,,,,"Ashland commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by
FY2032 from a FY2022 base year.* Ashland also commits to reduce absolute
scope 3 GHG emissions 50.4% within the same timeframe.
*The target boundary includes land-related emissions and removals from
bioenergy feedstocks.",BA1.5 member,1/1/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,11/9/23,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland,Northern America,Chemicals,,,,,,,,,,,,,,United States of America,USA,Chemicals,No,small,4/24/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ashland,Northern America,Chemicals,,,,,,,,,,,,,,United States of America,USA,Chemicals,No,small,5/5/23,3,new,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Avalonbay Communities,Northern America,Real Estate,Targets set,2C,2030,,,,,,Real estate investment trust AvalonBay commits to reduce scope 1 and 2 GHG emissions 53% per square foot by 2030 from a 2017 base year. AvalonBay also commits to reduce scope 3 emissions 47% per square foot within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C,,,,,,,7/2/19,,,,,,,,,,,,,,,,,,,,,,,,,
Avalonbay Communities,Northern America,Real Estate,,,,,,,,,,,,,,United States of America,USA,Financials,No,medium,3/5/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes
Avery Dennison Corporation,Northern America,Containers and Packaging,Targets set,1.5C,2030,,,,,,Avery Dennison commits to reduce absolute scope 1 and 2 GHG emissions 70% by 2030 from a 2015 base year. Avery Dennison also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and end of life treatment of sold products 30% by 2030 from a 2018 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,10/21/21,,,,,,,,,,,,,,,,,,,,,,,,,
Denso Corporation,Northern America,,,,,,,,,,,,,,,Japan,JPN,Consumer Goods,No,large,4/29/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
Denso Corporation,Northern America,,,,,,,,,,,,,,,Japan,JPN,Consumer Goods,No,large,4/21/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Ball Corporation,Northern America,Containers and Packaging,Targets set,1.5C,2030,,,,,,"“Ball Corporation commits to reduce absolute scope 1 and scope 2 GHG emissions 55% by 2030 from a 2017 base year. Ball Corporation also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, fuel and energy related activities, upstream transportation and distribution, waste generated in operations, business travel, employee commuting, upstream leased assets, downstream transportation and distribution, processing of sold products and investments 16% by 2030 from a 2017 base year. * The target boundary includes biogenic emissions and removals from bioenergy feedstocks. ”",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,4/23/20,,,,,,,,,,,,,,,,,,,,,,,,,
Ayala Corporation,Northern America,,,,,,,,,,,,,,,Philippines,PHL,Financials,No,large,4/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Bath & Body Works,Northern America,Retailing,Committed,,,,,,,,,,,,,,,,,,3/2/23,,,,,,,,,,,,,,,,,,,,,,,,,
Bath & Body Works,Northern America,Retailing,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,1/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,Yes
Berry Global Group,Northern America,Containers and Packaging,Targets set,1.5C,2025,,,,,,Berry Global commits to reduce absolute scope 1 and 2 GHG emissions 25.2% by 2025 from a 2019 base year. Berry Global also commits to reduce absolute scope 3 GHG emissions 25.2% within the same timeframe.,BA1.5 member,3/18/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,3/24/22 0:00,,,,,,,,,,,,,,,,,,,,,,,,,
Berry Global Group,Northern America,Containers and Packaging,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Best Buy,Northern America,Retailing,Targets set,1.5C,2030,,,,,,American multinational consumer electronics retailer Best Buy commits to reduce absolute Scope 1 and Scope 2 GHG emissions 50% by 2030 from a 2017 base-year. Best Buy also commits to reduce absolute Scope 3 GHG emissions from Use of Sold Products 20% by 2030 from a 2017 base-year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,7/1/19,,,,,,,,,,,,,,,,,,,,,,,,,
Best Buy,Northern America,Retailing,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,1/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes
Best Buy,Northern America,Retailing,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,4/24/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Biogen,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,2032,Targets set,1.5C,2045,Targets set,2045,"Overall Net-Zero Target
Biogen commits to reach net-zero GHG emissions across the value chain by 2045.
Near-Term Targets
Biogen commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2032 from a 2019 base year. Biogen also commits that 80% of its suppliers by spend covering purchased goods and services and capital goods, will have science-based targets by 2025.
Long-Term Targets
Biogen commits to reduce absolute scope 1 and 2 GHG emissions 100% by 2040 from a
2019 base year. Biogen also commits to reduce absolute scope 3 GHG emissions 90% by
2045 from a 2019 base year.",BA1.5 member,9/1/20 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,11/9/23,,,,,,,,,,,,,,,,,,,,,,,,,
Biogen,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",,,,,,,,,,,,,,United States of America,USA,Health Care,No,medium,3/5/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
BorgWarner,Northern America,Automobiles and Components,Targets set,1.5C,2030,,,,,,BorgWarner Inc. commits to reduce absolute scope 1 and 2 GHG emissions 85% by 2030 from a 2021 base year. BorgWarner Inc. also commits to reduce absolute scope 3 GHG emissions 25% within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,8/31/23,,,,,,,,,,,,,,,,,,,,,,,,,
BorgWarner,Northern America,Automobiles and Components,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,medium,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,No
