company_name,organization_type,location,region,sector,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_classification,long_term_target_year, net_zero_status,net_zero_year,full_target_language,ba15_status,ba15_date ,target_classification_long,reason_for_extension_or_removal,date_updated,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,SEDOL,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Ashland,,,,,,,,,,,,,,,,,,,United States of America,USA,Chemicals,No,small,BYND5N1,4/24/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ashland,,,,,,,,,,,,,,,,,,,United States of America,USA,Chemicals,No,small,BYND5N1,5/5/23,3,new,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Avalonbay Communities,Corporate,United States of America,Northern America,Real Estate,Targets set,2°C,2030,,,,,,Real estate investment trust AvalonBay commits to reduce scope 1 and 2 GHG emissions 53% per square foot by 2030 from a 2017 base year. AvalonBay also commits to reduce scope 3 emissions 47% per square foot within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C,,7/2/19 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalonbay Communities,,,,,,,,,,,,,,,,,,,United States of America,USA,Financials,No,medium,2131179,3/5/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes
Avery Dennison Corporation,Corporate,United States of America,Northern America,Containers and Packaging,Targets set,1.5C,2030,,,,,,Avery Dennison commits to reduce absolute scope 1 and 2 GHG emissions 70% by 2030 from a 2015 base year. Avery Dennison also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and end of life treatment of sold products 30% by 2030 from a 2018 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,10/21/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denso Corporation,,,,,,,,,,,,,,,,,,,Japan,JPN,Consumer Goods,No,large,6640381,4/29/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
Denso Corporation,,,,,,,,,,,,,,,,,,,Japan,JPN,Consumer Goods,No,large,6640381,4/21/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Ball Corporation,Corporate,United States of America,Northern America,Containers and Packaging,Targets set,1.5C,2030,,,,,,"“Ball Corporation commits to reduce absolute scope 1 and scope 2 GHG emissions 55% by 2030 from a 2017 base year. Ball Corporation also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, fuel and energy related activities, upstream transportation and distribution, waste generated in operations, business travel, employee commuting, upstream leased assets, downstream transportation and distribution, processing of sold products and investments 16% by 2030 from a 2017 base year. * The target boundary includes biogenic emissions and removals from bioenergy feedstocks. ”",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,4/23/20 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayala Corporation,,,,,,,,,,,,,,,,,,,Philippines,PHL,Financials,No,large,B09JBT3,4/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Bath & Body Works,Corporate,United States of America,Northern America,Retailing,Committed,,,,,,,,,,,,,3/2/23 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath & Body Works,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,BNNTGJ5,1/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,Yes
Berry Global Group,Corporate,United States of America,Northern America,Containers and Packaging,Targets set,1.5C,2025,,,,,,Berry Global commits to reduce absolute scope 1 and 2 GHG emissions 25.2% by 2025 from a 2019 base year. Berry Global also commits to reduce absolute scope 3 GHG emissions 25.2% within the same timeframe.,BA1.5 member,3/18/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,3/24/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry Global Group,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,B8BR3H3,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Best Buy,Corporate,United States of America,Northern America,Retailing,Targets set,1.5C,2030,,,,,,American multinational consumer electronics retailer Best Buy commits to reduce absolute Scope 1 and Scope 2 GHG emissions 50% by 2030 from a 2017 base-year. Best Buy also commits to reduce absolute Scope 3 GHG emissions from Use of Sold Products 20% by 2030 from a 2017 base-year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,7/1/19 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Buy,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,2094670,1/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes
Best Buy,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,2094670,4/24/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Biogen,Corporate,United States of America,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,2032,Targets set,1.5C,2045,Targets set,2045,"Overall Net-Zero Target
Biogen commits to reach net-zero GHG emissions across the value chain by 2045.
Near-Term Targets
Biogen commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2032 from a 2019 base year. Biogen also commits that 80% of its suppliers by spend covering purchased goods and services and capital goods, will have science-based targets by 2025.
Long-Term Targets
Biogen commits to reduce absolute scope 1 and 2 GHG emissions 100% by 2040 from a
2019 base year. Biogen also commits to reduce absolute scope 3 GHG emissions 90% by
2045 from a 2019 base year.",BA1.5 member,9/1/20 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,11/9/23 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biogen,,,,,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,medium,2455965,3/5/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
BorgWarner,Corporate,United States of America,Northern America,Automobiles and Components,Targets set,1.5C,2030,,,,,,BorgWarner Inc. commits to reduce absolute scope 1 and 2 GHG emissions 85% by 2030 from a 2021 base year. BorgWarner Inc. also commits to reduce absolute scope 3 GHG emissions 25% within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,8/31/23 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BorgWarner,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,medium,2111955,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,No
