Company,Year,Overall transparency score,Overall integrity score,1. Transparency and Integrity,2. Transparency,2. Integrity,3. Transparency,3. Integrity,4. Transparency,4. Integrity,What is their revenue?,What are their emissions?,What is their pledge?,Major emission sources,Disclosure,Headline target or pledge,Short-term targets - grey,Short-term targets - white,Medium-term targets - grey,Medium-term targets - white,Longer-term targets - grey,Longer-term targets - white,Operational emissions (scope 1) number,Operational emissions (scope 1) verbiage,Renewable electricity (scope 2) number,Renewable electricity (scope 2) verbiage,Upstream emissions (scope 3) number,Upstream emissions (scope 3) verbiage,Downstream emissions (scope 3) number,Downstream emissions (scope 3) verbiage,Climate contributions today,Misleading offsetting claims today,Short and medium term targets - grey,Short and medium term targets - white,Emission Reduction Measures,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,training_idx
American Airlines,2024,Moderate,Very Poor,Poor,Moderate,Very Poor,Moderate,Very Poor,Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,USA,Airlines,Yes,medium,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,american_airlines_2022
Apple,2022,Reasonable,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Very Poor,USD 274.5 bn (2020),23.5 MtCO2e (2020),Carbon neutral by 2030,Purchase of goods for product manufacturing (upstream scope 3; ~70%).,"Emissions disclosed in detail across all scopes. Scope 2 emissions reported to be zero under market-based accounting approach, while amounting to 0.89 MtCO2e using a location-based approach. Only market-based emissions are prominently displayed.",Carbon neutral by 2030,,,,,,,,,,High-quality PPAs account for the majority of renewable electricity.,,,,,The Power for Impact programme supports RE projects in communities that need energy resources. Unclear if related to offsetting.,"Carbon-neutral claim made for operations, business travel, and employee commuting in 2020 (representing ~1.5% of total emissions) by offsetting with nature-based solutions.",,,"Emission reduction measures across all emission scopes, but limited information on potential impacts.",,,,,,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,apple_2020
Apple,2023,Reasonable,Moderate,Reasonable,Moderate,Moderate,High,High,Reasonable,Very Poor,USD 365.8 bn (2021),24.2 MtCO2e (2021),Carbon neutral by 2030,Purchase of goods for manufacturing (67%) and emissions from the use of sold products (21%).,Detailed disclosure. The lower market-based estimate for scope 2 emissions is used for aggregation.,Carbon neutral by 2030,,,,,No long-term vision for emission reductions beyond 2030.,No long-term vision communicated.,,,,"Detailed information. 100% of electricity consumption is renewable, mostly supplied through high-quality PPAs. Investments in on-site installations with storage.",,,,,,"Carbon neutrality claim for s1, s2, employee commute, and business No climate contributions identiﬁed.",Carbon neutral by 2030,Full coverage of life-cycle emissions. 75% reduction by 2030 relative to 2015. Aligned with benchmarks for 1.5°C warming. No short-term target.,"Detailed information on measures covering all major emission sources, including transition of supply chain to renewable electricity and measures to extend product lifetimes.",United States of America,USA,Technology,No,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,apple_2021
Apple,2024,Reasonable,Moderate,Reasonable,Moderate,Moderate,High,High,Reasonable,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,apple_2022
ArcelorMittal,2023,Moderate,Moderate,Reasonable,Moderate,Poor,Moderate,Poor,Poor,Poor,USD 76.6 bn (2021),166.2 MtCO2e (2021),Net-zero by 2050,Emissions from steelmaking processes (s1) account for over 80% of reported emissions.,S1&2 emissions are broken down to emissions from mining and steelmaking. Potentially significant share of s3 emissions is not reported on.,Net-zero by 2050,,,,,Net-zero by 2050,We interpret that the target covers s1 and s2 emissions. Company does not explicitly commit to own emissions reduction target by 2050.,,,,Renewable energy procurement constructs not disclosed.,,,,,,No climate contributions identiﬁed. No oﬀsetting claims today identiﬁed.,Global: reduce emissions intensity by 25% below 2018 levels in 2030 (eq. 1.54 tCO2/tsteel) Europe: reduce emissions intensity by 35% below 2018 levels in 2030,"Supporting measures indicate alignment with some 1.5°C aligned sectoral benchmarks, although benchmarks are not directly comparable.","Measures cover s1 and s2, and include the use of different potential low-carbon technologies without specifying the technology split in 2030.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arcelormittal_2021
BMW Group,2022,Moderate,Very Poor,Moderate,Moderate,Very Poor,Moderate,Very Poor,Very Poor,Unknown,USD 112.4 bn [EUR 99.0 bn] (2020),67.0 MtCO2e (2020),Climate neutral by 2050,"Energy use of sold vehicles (downstream scope 3, 70%); vehicle manufacturing (upstream scope 3, 25%)","Most emissions across all scopes disclosed for 2020 and historical time series. Market-based scope 2 emissions used for aggregate data. Around 10% of total emissions is not reported (emissions from some buildings and offices under scopes 1 and 2; and franchises, among others, in scope 3).",Climate neutral by 2050,,,,,,,,,,100% renewable electricity claim is delivered mostly through unbundled RECs.,,,,,No climate contributions identified,"Claim of carbon-neutral operations (scope 1 and scope 2) using offsets from 2022 onwards, while the 2050 target may also rely on offsets for scope 3 emissions. ",,,"Measures are focused on the most relevant scopes, but accelerated phase out of internal combustion engines is required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bmw_group_2020
Carrefour,2022,Very Poor,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,USD 82 bn [EUR 72 bn] (2020),95.7 MtCO2e (2020),Carbon neutral by 2040,"Supply chain for products and packaging account for ~72% of emissions (scope 3, upstream).","Carrefour’s Annual Report discloses only 2% of the emissions reported in its CDP response. Scope 3 emissions are reported as 0.337 MtCO2e, compared to 94.1 MtCO2e in the detailed CDP response. Reporting does not include emissions from administrative buildings, warehouses, head offices. Emissions from activities outside of the nine “integrated countries” (accounting for approximately 12% of Carrefour stores in 2020) could not be identified in any published datasets.",Carbon neutral by 2040,,,,,,,,,,No significant procurement of RE in 2020. Target for 100% RE by 2030.,,,,,No climate contributions identified,No offsetting claim in 2020/2021,,,Lacking detail or limited to specific locations.,,,,,,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,carrefour_2020
Carrefour,2023,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,USD 87.8 bn (2021),136.3 MtCO2e (2021),Carbon neutrality by 2040,"Upstream emissions for products and packaging (72%), mostly from agriculture. Downstream use of non-food products (23%).",99% of s3 emissions are excluded from public reports. Reported values include only 'integrated' stores that account for less than 20% of Carrefour stores.,Carbon neutrality by 2040,,,,,Carbon neutrality by 2040,"Target includes a commitment to 70% reduction of only s1 and s2 emissions, and only in selected locations.",,,,Limited use of RE currently. Organisation-wide data could not be identified. Geographical coverage of the 2030 target is unclear.,,,,,,No offsetting claim identified. No climate contributions identified.,- 50% reduction of s1 & 2 emissions by 2030 compared to 2019. - 29% reduction of s3 emissions by 2030 compared to 2019.,Most Carrefour locations appear to be excluded from the targets; we interpret these targets only apply to 20-50% of Carrefour output.,Plans address key emission sources but are limited in geographical coverage and lacking concrete commitments.,France,FRA,Consumer Services,Yes,medium,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,carrefour_2021
Carrefour,2024,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,France,FRA,Consumer Services,Yes,medium,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,Yes,No,No,No,No,carrefour_2022
CVS Health,2022,Poor,Very Poor,Moderate,High,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,USD 268.7 bn (2020),12 MtCO2e (2020),Net zero by 2050,"Purchase of goods and services (80%) (scope 3, upstream).","Major emission sources are disclosed transparently, but scope 1 and 2 lack detail. Scope 2 emissions are reported using the market-based method only. Subsidiary coverage is unclear. More explanation is needed to understand the especially high emissions in 2019.",Net zero by 2050,,,,,,,,,,No information on renewable energy constructs: assessment not possible.,,,,,No climate contributions identified,No offsetting claim in 2020/2021,,,Limited information on emission reduction measures: assessment not possible.,,,,,,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No,cvs_health_2020
CVS Health,2024,Poor,Very Poor,Moderate,High,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No,cvs_health_2022
CVS Health,2023,Poor,Very Poor,Moderate,High,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No,cvs_health_2021
Daimler Truck,2024,Poor,Poor,Very Poor,Poor,Moderate,Poor,Poor,Very Poor,Very Poor,USD 53.6 bn (2022),Not available (2022),CO2-neutrality on roads and throughout the entire value chain globally by 2050,Not available due to incomplete emissions disclosure.,"No disclosure of upstream and downstream s3 emissions, critically undermining the understanding its emission profile across the value chain.",CO2-neutrality on the roads and throughout the entire value chain globally by 2050,"• Carbon neutrality for s1 and s2 by 2025 in EU, India, Japan, and USA • 42% absolute reduction in s1 and s2 by 2030 below 2021 • Aspirational ZEV sales share of ""up to 60%"" by 2030 for EU, USA, and Japan","Aspirational and vaguely formulated ZEV sales share for key markets (EU, USA, Japan) with unclear impact. No other s3 reduction target."," Carbon neutrality for s1 and s2 by 2039 globally • Carbon neutrality for upstream s3 by 2039 in USA, EU and Japan � 100% ZEV sales by 2039 in EU, USA and Japan","1.5C-aligned target for 100% ZEV sales in key markets (EU, USA, Japan). No reduction pledges alongside scope-specific carbon neutrality targets.","Carbon neutrality for s1, s2 and s3 by 2050 globally � Carbon neutrality for upstream s3 by 2050 globally � 100% ZEV sales by 2050 globally""",1.5C-aligned target for 100% ZEV sales globally by 2050. No reduction pledge alongside carbon neutrality targets (company-wide & scope-specific).,Not available,Not assessed.,Not available,"100% RE claim for most European sites with hourly matching, but no info on procurement constructs. 100% RE target for all sites globally by 2030.",Not available,"Some minor actions to reduce upstream scope 3 emissions, but not addressing key sources such as steel. No details on timeline, scope and impact.",Not available,"Relevant measures for use phase emissions, including ZEV technologies and charging infrastructure. Limited details on timeline and impact up to 2030.",No climate contributions identiﬁed.,Carbon neutrality claim for European production sites (s1 and s2). Very limited information on type and amount of credits purchased in 2022.,,,,Germany,DEU,Autos,No,large,new,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,daimler_truck_2022
Danone,2023,Poor,Poor,Very Poor,Poor,Moderate,Poor,Poor,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,France,FRA,Food Producers,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,danone_2021
Danone,2024,Moderate,Moderate,Reasonable,Poor,Moderate,Moderate,Reasonable,Poor,Poor,USD 29.1 bn (2022),25.7 MtCO2e (2022),Net-zero emissions by 2050,"Almost 80% of emissions from upstream scope 3, 76% from purchased goods and services. Downstream transportation second most important (10%).","Consistent reporting and disclosure, but several scopes not accounted for and further breakdown of sources would be beneficial for better understanding. Scope 2 market-based used for total emissions.",Net-zero emissions by 2050,"Reduce absolute scope 1 and 2 emissions 47.2% by 2030 (2020 baseline), absolute scope 1 and 3 FLAG emissions 30.3%, scope 3 non-FLAG 42, methane emissions from fresh milk 30%.","sources, but targets do not cover all emissions, so translate to a 30% reduction of 2019 value chain emissions. Danone has a methane target, but provides baseline emissions, so could not be quantiﬁed.",No target identiﬁed.,No target identiﬁed.,Net zero emissions across the value chain by 2050.,"The net-zero target does not cover all emissions. It is accompanied by an explicit emission reduction commit- ment, but an estimate for residual emissions implies signiﬁcant emission reductions.",3% of 2022 emissions,Not assessed.,3% of 2022 emissions,Very limited public reporting on RE procurement. Majority comes from low-quality constructs. No information on planned constructs identiﬁed.,79% of 2022 emissions,"Several measures identiﬁed for deep reduction of emissions, most notably a plan to increase share of plant-based protein. Emission reduction strategy includes",15% of 2022 emissions,short-term and longer-term measures. Limited detail on measures related to downstream emissions.,"Mitigation beyond value chain through ""Livelihoods Funds"". €68.8 M invested in period 2011-2023, partially in return for product level carbon neutrality claims. Since","Carbon neutral production sites based mostly on a combination of RECs and carbon credits. 2023, an undeﬁned volume of support continues without oﬀsetting claims.",,,,France,FRA,Food Producers,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,danone_2022
Deutsche Post DHL,2022,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Moderate,Moderate,Moderate,Very Poor,USD 75.5 bn [EUR 66 bn] (2020),"39,1 MtCO2e (2020)",Unclear: Zero or net zero by 2050,"subcontractor transport, especially from aviation (upstream scope 3, 64%).","Transparent disclosure of scope 1 and 2, but incomplete reporting of scope 3 emissions. Deutsche Post excludes 35% of its upstream scope 3 emissions from its total reporting, which makes it seem as if total reported emissions are 12 Mt lower than is actually the case.",Unclear: Deutsche Post uses the terms  net zero and zero� interchangeably. The target year for its headline pledge is 2050.,,,,,,,,,,"On-site installations, considering PPAs, possible use of RECs. Detailed information is lacking.",,,,,Support for planting over a million trees annually.,"Deutsche Post offers �climate neutral� delivery through GoGreen programme. Medium quality offset credits, but very low volume .",,,Range of measures are proposed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deutsche_post_dhl_2020
