Name,What is their revenue?,What are their emissions?,What is their pledge?,Major emission sources,Headline target or pledge,Short-term targets - grey,Short-term targets - white,Medium-term targets - grey,Medium-term targets - white,Longer-term targets - grey,Longer-term targets - white,Operational emissions (scope 1) number,Operational emissions (scope 1) verbiage,Renewable electricity (scope 2) number,Renewable electricity (scope 2) verbiage,Upstream emissions (scope 3) number,Upstream emissions (scope 3) verbiage,Downstream emissions (scope 3) number,Downstream emissions (scope 3) verbiage,Climate contributions today,Misleading offsetting claims today,Overall transparency score,Overall integrity score,1. Transparency and Integrity,2. Transparency,2. Integrity,3. Transparency,3. Integrity,4. Transparency,4. Integrity
Adidas,USD 21.4 bn (2022),6.7 MtCO2e (2022),Climate neutral by 2050,Purchased goods and services No public disclosure of s3 emissions in,Climate neutral by 2050,• Climate neutral across own operations by 2025 • 30% reduction of absolute GHG emissions across by the value chain bu 2030 below 2017 levels.,Translation of target to 2019 baseline is unclear due to highly variable emissions between 2017 and 2022. May be partially aligned with sectoral benchmarks.,No targets for the 2021-2040 timeframe identiﬁed.,No target identiﬁed.,No targets for the 2021-2040 timeframe identiﬁed.,Lack of a reduction commitment alongside the climate neutrality pledge.,0% of 2022 emissions,Not assessed.,2% of 2022 emissions,"Standalone RECs are currently used for own operations in Europe and the USA. Intention to shift focus to PPAs, but no further details identiﬁed.",95% of 2022 emissions,Measures to phase out coal and increase RE use in the supply chain. Natural gas and biomass also used to replace coal. No commitment to stop overproduction.,2% of 2022 emissions,Not assessed.,No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,Poor,Poor,Poor,Poor,Poor,Moderate,Very Poor,Very Poor,Very Poor
Fast Retailing,USD 17.5 bn (2022),6.0 MtCO2e (2022),Carbon neutrality by 2050,Scope 3 accounts for 95% of Fast Retailing's emissions. Purchased goods (70%) are the most important source. Use of sold products is shown separately and not counted towards the total.,Carbon neutrality by 2050,"To reduce scope 1 and 2 emissions by 90% and scope 3 emissions (from the production of raw materials for products, fabric production and garment manufacturing) by 20% by FY2030",Targeted emission reductions across the company's whole value chain are insuﬃcient to meet the global benchmark of 43% GHG emission reductions by 2030.,No target identiﬁed.,No target identiﬁed.,Carbon neutrality by 2050.,Carbon neutrality target is not supported by emission reduction target,0% of 2022 emissions,Not assessed.,5% of 2022 emissions,Most electricity procured to date through standalone RECs. No clear commitment to use high quality constructs towards 100% RE target.,82% of 2022 emissions,Measures cover most key areas but lack suﬃcient information to estimate impact.,13% of 2022 emissions,Not assessed.,No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,Poor,Poor,Moderate,Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
H&M Group,USD 22.1 bn (2022),6.1 MtCO2e (2022),Net zero by 2040,Scope 3 accounts for 94% of H&M's emissions. Purchased goods (67%) are the most important source. Use of sold products is shown separately and not counted towards the total.,Net zero by 2040,"Reduce scope 1, 2, and 3 by 56% below 2019 levels",Target includes all relevant information. Target in line with existing benchmarks.,"Reducing scope 1, 2 and 3 emissions by 90% below 2018",Target includes all relevant information. Target in line with existing benchmarks.,No target identiﬁed.,No target identiﬁed.,0.4% of 2022 emissions,Not assessed.,7.6% of 2022 emissions,"H&M signals that it plans to use PPAs to implement its 2030 target for 100% renewable electricity, but does not commit to hourly matching.",88.9% of 2022 emissions,"Measures cover all key areas but lack suﬃcient information to estimate impact, especially regarding the use of biomass and reducing (over)production.",3.1% of 2022 emissions,Not assessed.,"Unclear whether H&M plans to make climate contributions, for example through its LEAF membership.",No oﬀsetting claim identiﬁed.,Reasonable,Moderate,Reasonable,High,Reasonable,Moderate,Poor,Moderate,Moderate
Inditex,USD 34.2 bn (2022),14.2 MtCO2e (2022),Net zero by 2040,Scope 3 accounts for 97% of Inditex's emissions. Purchased goods (77%) are the most important source. Use of sold products is shown separately and not counted towards the total.,Net zero by 2040,Reducing scope 1 and 2 emissions by 90% and scope 3 by 50% below 2018 levels by 2030,"Target in line with existing benchmarks, but no interim target identiﬁed.","Reducing scope 1, 2 and 3 emissions by 90% below 2018","Target in line with existing benchmarks, but no interim target identiﬁed.",No target identiﬁed.,No target identiﬁed.,0.1% of 2022 emissions,Not assessed.,3.2% of 2022 emissions,"Inditex is increasing its use of PPAs to reach 60% of its electricity consumption by 2030, improving its previous reliance on standalone RECs for its 100% renewable claim.",94.3% of 2022 emissions,"Measures cover all key areas but lack suﬃcient information to clarify impact, especially regarding the use of biomass and reducing (over)production.",2.5% of 2022 emissions,Not assessed.,No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,Reasonable,Moderate,Reasonable,High,Reasonable,Moderate,Poor,Poor,Poor
Nike,USD 51.2 bn (2022),10.2 MtCO2e (2022),Net zero by 2050,Scope 3 accounts for 97% of Nike's emissions. It's most important source is purchased goods and services (83%). Use of sold products is shown separately and not counted towards the total.,Net zero by 2050,"• By 2025: reduce s1 and s2 by 70% below 2020 levels • By 2030: reduce s1 and s2 by 65% below 2015 levels, reduce s3 by 30% below 2015 levels",2030 target includes is in line with existing fashion benchmarks. No interim scope 3 target.,No targets for the 2021-2040 timeframe identiﬁed.,No target identiﬁed.,"Net zero by 2050. Reducing s1, s2 and s3 emissions by 90% below 2015.","Target in line with existing benchmarks, but no interim target identiﬁed.",0.5% of 2022 emissions,Not assessed.,2.2% of 2022 emissions,"Nike is close to meeting its target for 100% RE by 2025, mostly through local PPAs, but does not commit to hourly matching.",90.4% of 2022 emissions,"Measures cover all key areas but lack suﬃcient information to clarify impact, especially regarding the use of biomass and reducing (over)production.",6.9% of 2022 emissions,Not assessed.,No climate contributions identiﬁed.,No oﬀsetting claim identiﬁed.,Moderate,Moderate,Reasonable,Moderate,Moderate,Moderate,Poor,Poor,Poor
Danone,USD 29.1 bn (2022),25.7 MtCO2e (2022),Net-zero emissions by 2050,"Almost 80% of emissions from upstream scope 3, 76% from purchased goods and services. Downstream transportation second most important (10%).",Net-zero emissions by 2050,"Reduce absolute scope 1 and 2 emissions 47.2% by 2030 (2020 baseline), absolute scope 1 and 3 FLAG emissions 30.3%, scope 3 non-FLAG 42, methane emissions from fresh milk 30%.","sources, but targets do not cover all emissions, so translate to a 30% reduction of 2019 value chain emissions. Danone has a methane target, but provides baseline emissions, so could not be quantiﬁed.",No target identiﬁed.,No target identiﬁed.,Net zero emissions across the value chain by 2050.,"The net-zero target does not cover all emissions. It is accompanied by an explicit emission reduction commit- ment, but an estimate for residual emissions implies signiﬁcant emission reductions.",3% of 2022 emissions,Not assessed.,3% of 2022 emissions,Very limited public reporting on RE procurement. Majority comes from low-quality constructs. No information on planned constructs identiﬁed.,79% of 2022 emissions,"Several measures identiﬁed for deep reduction of emissions, most notably a plan to increase share of plant-based protein. Emission reduction strategy includes",15% of 2022 emissions,short-term and longer-term measures. Limited detail on measures related to downstream emissions.,"Mitigation beyond value chain through ""Livelihoods Funds"". €68.8 M invested in period 2011-2023, partially in return for product level carbon neutrality claims. Since","Carbon neutral production sites based mostly on a combination of RECs and carbon credits. 2023, an undeﬁned volume of support continues without oﬀsetting claims.",Moderate,Moderate,Reasonable,Poor,Moderate,Moderate,Reasonable,Poor,Poor
Mars,USD 45 bn (2022),30.9 MtCO2e (2022),Net-zero GHG emissions by 2050 in full value chain.,"94% of 2022 emissions occurred in scope 73% from purchased goods and services (mainly agriculture and land-use change), 16% from downstream transportation.",Net-zero GHG emissions by 2050 in full value chain.,Reduce value chain emissions by 27% by 2025 and 50% by 2030 (2015 baseline).,Main emission reduction target (50% by 2030) is transparantly presented and in line with sectoral and global benchmarks. Carbon sequestration is not considered as part of target.,No target identiﬁed,No target identiﬁed.,Net-zero emissions by 2050,"Long-term net-zero target includes an emission reduction of 80%. Although this is aligned with sectoral benchmarks, role of biological CDR remains uncertain. With 50% from 2030, target is already in line with sectoral benchmarks.",3% of 2022 emissions,Not assessed.,3% of 2022 emissions,"Mars pursues some high-quality RE procurement constructs, but public reporting is limited and the coverage of the target unclear.",78% of 2022 emissions,"Some critical measures are presented, that - in sum - will bring the emissions in line with 2030 target. Post-2030 emission reduction strategy is lacking.",16% of 2022 emissions,No measures identiﬁed that can reduce emissions of this scope.,No climate contributions identiﬁed.,Carbon neutrality claims for speciﬁc brands. Information insuﬃcient to determine the integrity of the claims.,Moderate,Moderate,Moderate,Reasonable,Reasonable,Moderate,Moderate,Poor,Poor
Nestlé,USD 98.8 bn (2022),114.7 MtCO2e (2022),Net-zero GHG emissions by 2050,Main emissions are from agricultural activities and other purchased goods and services (72%).,Net-zero GHG emissions by 2050,"Reduce scope 1, 2 & 3 emissions by 20% by 2025. By 2030, reduce non-FLAG scope 1, 2 & emissions by 50.4% and scope 3 FLAG emissions by 50%.","Updated SBTi FLAG-aligned targets. Limited emission reduction commitment based on targets and measures presented in Net Zero Roadmap, which includes a mix land sequestration CDR and emission reductions.",No target identiﬁed.,No target identiﬁed.,"Reduce non-FLAG scope 1, 2 & 3 emissions by 90% by 2050 vs 2018; reduce absolute scope 3 FLAG GHG emissions by 75% by 2050 vs 2018",Undeﬁned role of CDR for net-zero target and updated SBTi targets.,3% of 2022 emissions,Not assessed.,2% of 2022 emissions,"Renewable electricity procurement constructs account for 77% of consumption, 41% through PPAs. Disclosure of information only in CDP responses.",80% of 2022 emissions,"Some measures to reduce upstream s3 emissions identiﬁed, but includes uncertain measures such as regeneration. Lacks clear commitments to measures that will lead to",15% of 2022 emissions,deep emission reductions. No measures identiﬁed that meaningfully address downstream scope 3.,No climate contributions identiﬁed.,"Nestlé has discontinued its carbon neutrality claims for brands, but the company subtracted carbon dioxide removals from its reported emissions",Poor,Poor,Reasonable,Poor,Poor,Poor,Poor,Very Poor,Very Poor
Tesco,USD 67.8 bn (2022),77.5 MtCO2e (2022),Net zero by 2050 across the full value chain,"~50% of reported emissions are related to purchased goods and services, and ~40% to use of sold products (though unclear what this entails).",Net zero by 2050 across the full value chain.,Reduce scope 1 & 2 by 60% by 2025 and by 85% by 2030 (2015 baseline).,"Transparent short-term targets, but cover only a very small share of emissions. No meaningful scope 3 targets before 2032.","Reduce scope 3 energy & industrial emissions by 55% by 2032 (2019 baseline), reduce scope 3 FLAG emissions by 39% by 2032 (2019 baseline). Net zero scope 1 and 2 by 2035.","Medium-term targets that could translate to deep emission reductions, but major scope exclusions that are not presented in public-facing documentation. Undeﬁned role of CDR that could undermine targets.","Net zero across value chain by 2050. Reduce non-FLAG scope 3 emissions by 90% by 2050 (2019 baseline), and scope 3 FLAG by 72% by 2050 (2019 baseline).","Net-zero target, presented with emission reduction targets. Scope exclusions not presented in public-facing documentation. FLAG targets integrity unclear, as role of CDR is undeﬁned. Non-FLAG targets are suﬃcient.",1% of 2022 emissions,Not assessed.,1% of 2022 emissions,Limited level of detail on electricity consumption in public-facing documentation. Claim of 100% RE consumption today; ~90% of demand is met with RECs.,55% of 2022 emissions,Little to no measures identiﬁed that meaningfully reduce upstream scope 3 emissions.,43% of 2022 emissions,Plans to reduce emissions from downstream transport. No further measures identiﬁed that can meaningfully reduce emissions in this scope.,No climate contributions identiﬁed.,No oﬀsetting claims identiﬁed.,Poor,Poor,Poor,Moderate,Poor,Poor,Very Poor,Very Poor,Very Poor
Walmart,USD 611.3 bn (2022),301.8 MtCO2e (2022),Zero emissions across global operations by 2040.,"Major emission sources are related to purchased goods and services (upstream scope 3, 95%).",Zero emissions across global operations by 2040.,"Reduce scope 1 & 2 emissions by 35% by 2025 and 65% by 2030, compared to 2015 levels.",Short- to medium-term targets translate to 5% emission reductions compared to 2019 value chain emissions: is not in line with 1.5°C-benchmarks.,Zero emissions in operations by 2040.,"Long-term target translates to 9% emission reductions, compared to 2019 value chain emissions. This is not in with 1.5°C-benchmarks.",No target identiﬁed.,No target identiﬁed.,3% of 2022 emissions,"Measures to reduce scope 1 emissions presented including changing refrigerants and electrifying transport, but only in vague terms.",3% of 2022 emissions,"Aims for higher-quality RE constructs to reach 100% RE by 2035, but RE share remains modest. Information only provided in CDP disclosure.",94% of 2022 emissions,"Signiﬁcant categories of upstream scope 3 emissions addressed through supplier engagement programme, but information remains vague.",1% of 2022 emissions,Not assessed.,"Commits to protect/restore 50 million acres of land by 2030, without neutralisation claim; reached 30 million acres in 2022. Very limited detail on",emissions impact provided. No oﬀsetting claims today identiﬁed.,Poor,Poor,Poor,Reasonable,Very Poor,Poor,Moderate,Poor,Poor
